hhid,personid1,personid2,personid3,personid4,price,nkids,jbstathoh,us,ustot,usa,usb,usc,usd,use,usg,ush,usi,usj
2127,7203318,NA,NA,NA,105000,2,in paid employ,yes,"£10,000-14,499",yes,no,no,no,no,yes,no,no,yes
1719,7693168,NA,NA,NA,249950,0,in paid employ,yes,£200-499,yes,no,no,no,no,no,no,no,no
2673,6642451,NA,NA,NA,113000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
3745,8019775,NA,NA,NA,248000,0,in paid employ,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
478,3376848,NA,NA,NA,125000,1,in paid employ,yes,don't know,no,no,yes,no,no,no,no,no,no
1403,6607557,NA,NA,NA,117000,1,in paid employ,yes,"£10,000-14,499",no,yes,no,no,no,yes,no,no,no
1624,2423688,NA,NA,NA,460000,0,FT student,no,not applicable,no,no,no,no,no,no,no,no,no
4007,1670167,NA,NA,NA,209000,0,in paid employ,yes,"£5,500-5,999",no,no,yes,yes,no,no,yes,no,no
4265,6240329,NA,NA,NA,210000,1,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
2998,1018500,NA,NA,NA,250000,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
632,5771986,4027164,NA,NA,135000,1,retired,no,not applicable,no,no,no,no,no,no,no,no,no
112,2129536,NA,NA,NA,135000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
323,8434476,NA,NA,NA,410500,1,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
1242,5045373,NA,NA,NA,159950,0,FT student,yes,"£5,000-5,499",no,yes,yes,no,no,no,no,no,no
288,334046,NA,NA,NA,149950,3,unemployed,yes,£500-999,no,no,yes,no,no,no,no,no,no
3854,-99,NA,NA,NA,145000,-99,in paid employ,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
781,1783928,NA,NA,NA,235000,1,retired,yes,£500-999,no,no,yes,no,no,no,no,no,no
2352,4499369,NA,NA,NA,249995,1,retired,no,not applicable,no,no,no,no,no,no,no,no,no
1439,2550005,NA,NA,NA,199995,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
3991,8105138,NA,NA,NA,245000,0,FT student,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
3553,6111669,NA,NA,NA,150000,3,something else,no,not applicable,no,no,no,no,no,no,no,no,no
726,8907191,NA,NA,NA,233000,0,long-term sick/disab,yes,"£3,000-3,499",no,no,no,yes,yes,no,no,yes,no
625,7403346,NA,NA,NA,130000,2,in paid employ,yes,<£200,no,no,no,no,no,no,yes,no,yes
3214,8558599,NA,NA,NA,172245,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
111,4719353,NA,NA,NA,145000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
565,2213185,NA,NA,NA,129100,1,something else,no,not applicable,no,no,no,no,no,no,no,no,no
1504,2487093,2133766,NA,NA,163000,1,in paid employ,yes,"£10,000-14,499",no,no,yes,yes,no,no,no,no,no
4127,1950373,NA,NA,NA,343000,1,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
1077,7879455,NA,NA,NA,112000,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
2817,1491710,NA,NA,NA,105000,1,in paid employ,yes,don't know,no,yes,no,no,no,no,no,yes,no
2453,3496732,NA,NA,NA,143000,0,refused,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
2617,7543272,NA,NA,NA,220000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
501,3712851,NA,NA,NA,175000,1,something else,no,not applicable,no,no,no,no,no,no,no,no,no
3317,4753349,NA,NA,NA,145950,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
91,3863372,NA,NA,NA,185000,0,retired,yes,<£200,no,no,no,no,no,no,yes,no,no
2114,1824661,NA,NA,NA,183500,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
3637,3266157,3120856,NA,NA,172500,0,in paid employ,yes,"£8,500-8,999",yes,yes,no,no,no,no,no,no,no
3000,1667795,NA,NA,NA,115000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
3785,5174198,NA,NA,NA,176660,1,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
